number, start position, stop position, strand, length
787, 2190206, 2191684,  + , 1479
788, 879188, 880597,  + , 1410
789, 2250470, 2252020,  + , 1551
790, 924383, 925936,  + , 1554
791, 2260097, 2262367,  + , 2271
792, 947009, 948382,  + , 1374
793, 2265443, 2266477,  + , 1035
794, 992306, 993652,  + , 1347
795, 2266580, 2268073,  + , 1494
796, 994304, 995713,  + , 1410
797, 2293310, 2295625,  + , 2316
798, 995723, 996886,  + , 1164
799, 2311313, 2312803,  + , 1491
800, 1029410, 1030696,  + , 1287
801, 2333528, 2335303,  + , 1776
802, 1030775, 1032223,  + , 1449
803, 2382158, 2383387,  + , 1230
804, 1050161, 1051351,  + , 1191
805, 2383445, 2384641,  + , 1197
806, 1051409, 1052620,  + , 1212
807, 2390546, 2393644,  + , 3099
808, 1054778, 1057648,  + , 2871
809, 2396579, 2397946,  + , 1368
810, 1062932, 1064347,  + , 1416
811, 2397974, 2398978,  + , 1005
812, 1087889, 1090054,  + , 2166
813, 2406932, 2408458,  + , 1527
814, 1129631, 1130713,  + , 1083
815, 2415026, 2416291,  + , 1266
816, 1130939, 1132012,  + , 1074
817, 2439836, 2441578,  + , 1743
818, 307305, 308828,  + , 1524
819, 3275443, 3276591,  + , 1149
820, 380025, 381347,  + , 1323
821, 3302374, 3303894,  + , 1521
822, 391047, 392111,  + , 1065
823, 3305062, 3306723,  + , 1662
824, 412611, 413957,  + , 1347
825, 3319459, 3320892,  + , 1434
826, 422736, 423740,  + , 1005
827, 3322756, 3324000,  + , 1245
828, 427656, 429074,  + , 1419
829, 3382147, 3383169,  + , 1023
830, 451815, 453302,  + , 1488
831, 3467536, 3468546,  + , 1011
832, 459885, 461042,  + , 1158
833, 3473611, 3474810,  + , 1200
834, 461049, 462155,  + , 1107
835, 3520318, 3521340,  + , 1023
836, 499062, 501197,  + , 2136
837, 3525556, 3527247,  + , 1692
838, 504885, 507206,  + , 2322
839, 3527917, 3530250,  + , 2334
840, 511029, 512345,  + , 1317
841, 3535405, 3538110,  + , 2706
842, 512952, 514073,  + , 1122
843, 3568735, 3569913,  + , 1179
844, 544746, 546320,  + , 1575
845, 3575425, 3576813,  + , 1389
846, 556998, 558344,  + , 1347
847, 3581581, 3583080,  + , 1500
848, 571722, 572945,  + , 1224
849, 3613150, 3614472,  + , 1323
850, 104862, 106208,  + , 1347
851, 4108468, 4109802,  + , 1335
852, 136362, 137432,  + , 1071
853, 4111399, 4112580,  + , 1182
854, 172002, 173915,  + , 1914
855, 4118524, 4121430,  + , 2907
856, 174192, 175868,  + , 1677
857, 4167391, 4169505,  + , 2115
858, 177378, 178778,  + , 1401
859, 4169602, 4171335,  + , 1734
860, 211068, 214490,  + , 3423
861, 4178050, 4179381,  + , 1332
862, 243954, 245303,  + , 1350
863, 4240111, 4241757,  + , 1647
864, 245409, 246773,  + , 1365
865, 4275022, 4276701,  + , 1680
866, 258018, 259364,  + , 1347
867, 4301572, 4305633,  + , 4062
868, 277266, 278330,  + , 1065
869, 4310146, 4311471,  + , 1326
870, 290376, 291695,  + , 1320
871, 4375003, 4376382,  + , 1380
872, 294255, 295298,  + , 1044
873, 4379476, 4380555,  + , 1080
874, 295509, 296744,  + , 1236
875, 4403677, 4405359,  + , 1683
876, 307617, 308900,  + , 1284
877, 4425958, 4428186,  + , 2229
878, 318915, 319922,  + , 1008
879, 4429723, 4431078,  + , 1356
880, 320001, 321446,  + , 1446
881, 4459231, 4460454,  + , 1224
882, 326664, 329195,  + , 2532
883, 4463590, 4464600,  + , 1011
884, 358017, 359039,  + , 1023
885, 4476475, 4477827,  + , 1353
886, 359046, 360896,  + , 1851
887, 4491583, 4492761,  + , 1179
888, 384444, 385847,  + , 1404
889, 4494085, 4495578,  + , 1494
890, 395715, 397448,  + , 1734
891, 4504012, 4505058,  + , 1047
892, 401076, 402449,  + , 1374
893, 4531288, 4532475,  + , 1188
894, 409023, 410108,  + , 1086
895, 4582441, 4585077,  + , 2637
896, 415284, 416744,  + , 1461
897, 4599346, 4601568,  + , 2223
898, 433980, 435653,  + , 1674
899, 1535056, 1536276,  + , 1221
900, 3542757, 3544976,  + , 2220
901, 1564726, 1566117,  + , 1392
902, 3545028, 3546251,  + , 1224
903, 1571542, 1572795,  + , 1254
904, 3554316, 3555740,  + , 1425
905, 1572853, 1574205,  + , 1353
906, 1507002, 1508348,  + , 1347
907, 556693, 559098,  + , 2406
908, 1558284, 1559807,  + , 1524
909, 1557129, 1558652,  + , 1524
910, 1558161, 1559684,  + , 1524
911, 1558077, 1559600,  + , 1524
912, 1969360, 1970580,  + , 1221
913, 501859, 503205,  + , 1347
914, 1557741, 1559264,  + , 1524
915, 1558113, 1559636,  + , 1524
916, 1558224, 1559747,  + , 1524
917, 1571799, 1573322,  - , 1524
918, 1571631, 1573154,  - , 1524
919, 2054056, 2055402,  - , 1347
920, 1797350, 1798696,  - , 1347
921, 1571925, 1573448,  - , 1524
922, 1572039, 1573562,  - , 1524
923, 2054032, 2055378,  - , 1347
924, 489220, 490440,  - , 1221
925, 1082732, 1084255,  - , 1524
926, 2054410, 2055756,  - , 1347
927, 3194906, 3197311,  - , 2406
928, 1572003, 1573526,  - , 1524
929, 488908, 490128,  - , 1221
930, 1571712, 1573235,  - , 1524
931, 1797344, 1798690,  - , 1347
932, 1571430, 1572953,  - , 1524
933, 2053780, 2055126,  - , 1347
934, 1796990, 1798336,  - , 1347
935, 2054119, 2055465,  - , 1347
936, 488830, 490050,  - , 1221
937, 29621, 30949,  - , 1329
938, 2454, 3830,  - , 1377
939, 98207, 100372,  - , 2166
940, 11016, 12776,  - , 1761
941, 104552, 105868,  - , 1317
942, 19215, 20387,  - , 1173
943, 125354, 126568,  - , 1215
944, 23676, 24761,  - , 1086
945, 131876, 134200,  - , 2325
946, 26190, 27656,  - , 1467
947, 164279, 165790,  - , 1512
948, 33993, 34997,  - , 1005
949, 170168, 171616,  - , 1449
950, 43368, 45170,  - , 1803
951, 172010, 174148,  - , 2139
952, 51780, 52961,  - , 1182
953, 210674, 211951,  - , 1278
954, 74580, 75794,  - , 1215
955, 225269, 226354,  - , 1086
956, 76881, 80204,  - , 3324
957, 251654, 255181,  - , 3528
958, 109125, 110459,  - , 1335
959, 257549, 258919,  - , 1371
960, 118089, 119735,  - , 1647
961, 268976, 270664,  - , 1689
962, 128766, 129782,  - , 1017
963, 289808, 290839,  - , 1032
964, 133962, 135641,  - , 1680
965, 300125, 302083,  - , 1959
966, 194493, 196868,  - , 2376
967, 303233, 304273,  - , 1041
968, 236709, 237998,  - , 1290
969, 315995, 317023,  - , 1029
970, 255807, 256808,  - , 1002
971, 320234, 321340,  - , 1107
972, 265209, 266636,  - , 1428
973, 332360, 333811,  - , 1452
974, 277413, 278795,  - , 1383
975, 343496, 344536,  - , 1041
976, 282741, 285251,  - , 2511
977, 349871, 351208,  - , 1338
978, 308958, 310106,  - , 1149
979, 365162, 366655,  - , 1494
980, 313689, 315377,  - , 1689
981, 370961, 372466,  - , 1506
982, 315384, 316706,  - , 1323
983, 375905, 377317,  - , 1413
984, 347436, 348659,  - , 1224
985, 383867, 385117,  - , 1251
986, 385791, 387230,  - , 1440
987, 385127, 387445,  - , 2319
988, 387525, 389078,  - , 1554
989, 403733, 405421,  - , 1689
990, 395622, 396785,  - , 1164
991, 430889, 431971,  - , 1083
992, 407358, 408458,  - , 1101
993, 439931, 441067,  - , 1137
994, 446520, 447974,  - , 1455
995, 445802, 447871,  - , 2070
996, 462474, 464081,  - , 1608
997, 448022, 449041,  - , 1020
998, 465984, 466988,  - , 1005
999, 461081, 463507,  - , 2427
1000, 466989, 468101,  - , 1113
1001, 483452, 484849,  - , 1398
1002, 468249, 469712,  - , 1464
1003, 512912, 514291,  - , 1380
1004, 470448, 472529,  - , 2082
1005, 529142, 531877,  - , 2736
1006, 487425, 488684,  - , 1260
1007, 546908, 548185,  - , 1278
1008, 491388, 492704,  - , 1317
1009, 552344, 554116,  - , 1773
1010, 496203, 497240,  - , 1038
1011, 556823, 558163,  - , 1341
1012, 499383, 500678,  - , 1296
1013, 562553, 564526,  - , 1974
1014, 506007, 507524,  - , 1518
1015, 577418, 579811,  - , 2394
1016, 507534, 509618,  - , 2085
1017, 591836, 593188,  - , 1353
1018, 535008, 536234,  - , 1227
1019, 623051, 625165,  - , 2115
1020, 592506, 593552,  - , 1047
1021, 631361, 632479,  - , 1119
1022, 670143, 671216,  - , 1074
1023, 633563, 635050,  - , 1488
1024, 671241, 673913,  - , 2673
1025, 640466, 642421,  - , 1956
1026, 674067, 675311,  - , 1245
1027, 648857, 649897,  - , 1041
1028, 710811, 712142,  - , 1332
1029, 649925, 651235,  - , 1311
1030, 726579, 727667,  - , 1089
1031, 654536, 656023,  - , 1488
1032, 733827, 734963,  - , 1137
1033, 665222, 666433,  - , 1212
1034, 761484, 764528,  - , 3045
1035, 719807, 721510,  - , 1704
1036, 773352, 774701,  - , 1350
1037, 723923, 725083,  - , 1161
1038, 785571, 787742,  - , 2172
1039, 725438, 727120,  - , 1683
1040, 797265, 798758,  - , 1494
1041, 737240, 738496,  - , 1257
1042, 799836, 801071,  - , 1236
1043, 795164, 796210,  - , 1047
1044, 819195, 821183,  - , 1989
1045, 813686, 814849,  - , 1164
1046, 884148, 885926,  - , 1779
1047, 835298, 836845,  - , 1548
1048, 898257, 900503,  - , 2247
1049, 847022, 850573,  - , 3552
1050, 903864, 905207,  - , 1344
1051, 856979, 858079,  - , 1101
1052, 915357, 917198,  - , 1842
1053, 874064, 876298,  - , 2235
1054, 922080, 923426,  - , 1347
1055, 886463, 887485,  - , 1023
1056, 940551, 941978,  - , 1428
1057, 903116, 904567,  - , 1452
1058, 951360, 952832,  - , 1473
1059, 922511, 923776,  - , 1266
1060, 974160, 975404,  - , 1245
1061, 926639, 927694,  - , 1056
1062, 1029456, 1031015,  - , 1560
1063, 929255, 931474,  - , 2220
1064, 1038996, 1041293,  - , 2298
1065, 975914, 977245,  - , 1332
1066, 1046130, 1047206,  - , 1077
1067, 979934, 981184,  - , 1251
1068, 1099272, 1101071,  - , 1800
1069, 986447, 987874,  - , 1428
1070, 1106310, 1107449,  - , 1140
1071, 990197, 991624,  - , 1428
1072, 1130724, 1131800,  - , 1077
1073, 992381, 994693,  - , 2313
1074, 1143141, 1144217,  - , 1077
1075, 1000562, 1002118,  - , 1557
1076, 1183827, 1184840,  - , 1014
1077, 1002137, 1003507,  - , 1371
1078, 1200201, 1201253,  - , 1053
1079, 1005827, 1007188,  - , 1362
1080, 1243236, 1245035,  - , 1800
1081, 1016972, 1020859,  - , 3888
1082, 1251198, 1252457,  - , 1260
1083, 1026617, 1028128,  - , 1512
1084, 1271628, 1273478,  - , 1851
1085, 1042940, 1044058,  - , 1119
1086, 1278738, 1280942,  - , 2205
1087, 1054784, 1056319,  - , 1536
1088, 1307292, 1309805,  - , 2514
1089, 1106672, 1107709,  - , 1038
1090, 1311777, 1313792,  - , 2016
1091, 1115999, 1117978,  - , 1980
1092, 1314561, 1315604,  - , 1044
1093, 1127942, 1129345,  - , 1404
1094, 1318968, 1320371,  - , 1404
1095, 1175831, 1177069,  - , 1239
1096, 1325382, 1326629,  - , 1248
1097, 1191689, 1193383,  - , 1695
1098, 1327677, 1328861,  - , 1185
1099, 1198067, 1199230,  - , 1164
1100, 1374648, 1375784,  - , 1137
1101, 1213685, 1214902,  - , 1218
1102, 1382937, 1385207,  - , 2271
1103, 1229405, 1232137,  - , 2733
1104, 1417284, 1418486,  - , 1203
1105, 1235690, 1237018,  - , 1329
1106, 1426317, 1427450,  - , 1134
1107, 1253108, 1255735,  - , 2628
1108, 1460802, 1463288,  - , 2487
1109, 1297292, 1298542,  - , 1251
1110, 1489920, 1490945,  - , 1026
1111, 1300178, 1301836,  - , 1659
1112, 1512603, 1513946,  - , 1344
1113, 1301927, 1303219,  - , 1293
1114, 1519098, 1520246,  - , 1149
1115, 1321880, 1324222,  - , 2343
1116, 1520283, 1522031,  - , 1749
1117, 1330172, 1331494,  - , 1323
1118, 1522716, 1527176,  - , 4461
1119, 1349735, 1352335,  - , 2601
1120, 1535178, 1537085,  - , 1908
1121, 1352465, 1353718,  - , 1254
1122, 1555956, 1557101,  - , 1146
1123, 1358195, 1359745,  - , 1551
1124, 1558404, 1559744,  - , 1341
1125, 1368026, 1370572,  - , 2547
1126, 1561977, 1563233,  - , 1257
1127, 1388021, 1389292,  - , 1272
1128, 1586106, 1588679,  - , 2574
1129, 1392671, 1393777,  - , 1107
1130, 1619217, 1620287,  - , 1071
1131, 1402955, 1404388,  - , 1434
1132, 1650576, 1651658,  - , 1083
1133, 1405883, 1407133,  - , 1251
1134, 1657590, 1658762,  - , 1173
1135, 1407746, 1408960,  - , 1215
1136, 1714149, 1715918,  - , 1770
1137, 1430768, 1432291,  - , 1524
1138, 1747725, 1749230,  - , 1506
1139, 1432733, 1433761,  - , 1029
1140, 1762359, 1764764,  - , 2406
1141, 1437659, 1438942,  - , 1284
1142, 1768323, 1770434,  - , 2112
1143, 1459976, 1461178,  - , 1203
1144, 1779372, 1780547,  - , 1176
1145, 1462133, 1463305,  - , 1173
1146, 1781556, 1784633,  - , 3078
1147, 1468802, 1470220,  - , 1419
1148, 1812582, 1814051,  - , 1470
1149, 1472042, 1473361,  - , 1320
1150, 1814427, 1815809,  - , 1383
1151, 1473362, 1475056,  - , 1695
1152, 1818942, 1819964,  - , 1023
1153, 1484804, 1486111,  - , 1308
1154, 1820034, 1821203,  - , 1170
1155, 1488920, 1490185,  - , 1266
1156, 1824192, 1828055,  - , 3864
1157, 1538270, 1539562,  - , 1293
1158, 1869792, 1871288,  - , 1497
1159, 1541942, 1543585,  - , 1644
1160, 1888656, 1890590,  - , 1935
1161, 1543820, 1545805,  - , 1986
1162, 1913895, 1915457,  - , 1563
1163, 1556897, 1558168,  - , 1272
1164, 1937943, 1939331,  - , 1389
1165, 1586984, 1588084,  - , 1101
1166, 1941720, 1943420,  - , 1701
1167, 1592849, 1594840,  - , 1992
1168, 1980138, 1981433,  - , 1296
1169, 1611830, 1613083,  - , 1254
1170, 2000334, 2001842,  - , 1509
1171, 1622132, 1623928,  - , 1797
1172, 2001852, 2003024,  - , 1173
1173, 1628720, 1630942,  - , 2223
1174, 2003025, 2004083,  - , 1059
1175, 1633511, 1635013,  - , 1503
1176, 2018898, 2023514,  - , 4617
1177, 1639151, 1640176,  - , 1026
1178, 2024556, 2025767,  - , 1212
1179, 1642511, 1643884,  - , 1374
1180, 2028069, 2029673,  - , 1605
1181, 1666220, 1667434,  - , 1215
1182, 2100564, 2101886,  - , 1323
1183, 1669031, 1670374,  - , 1344
1184, 2107818, 2108834,  - , 1017
1185, 1682036, 1683040,  - , 1005
1186, 2111979, 2113913,  - , 1935
1187, 1684583, 1686058,  - , 1476
1188, 2113914, 2115584,  - , 1671
1189, 1697297, 1698541,  - , 1245
1190, 2150004, 2151449,  - , 1446
1191, 1707755, 1708933,  - , 1179
1192, 2220174, 2221580,  - , 1407
1193, 1756586, 1762711,  - , 6126
1194, 2221668, 2231159,  - , 9492
1195, 1774598, 1776208,  - , 1611
1196, 2242041, 2244215,  - , 2175
1197, 1784759, 1785973,  - , 1215
1198, 2259117, 2260187,  - , 1071
1199, 1805645, 1806958,  - , 1314
1200, 2323905, 2325299,  - , 1395
1201, 1818122, 1819483,  - , 1362
1202, 2336400, 2337404,  - , 1005
1203, 1834835, 1838641,  - , 3807
1204, 2346642, 2347796,  - , 1155
1205, 1940564, 1941823,  - , 1260
1206, 2381325, 2382431,  - , 1107
1207, 1976990, 1978474,  - , 1485
1208, 2382651, 2383709,  - , 1059
1209, 1978484, 1979530,  - , 1047
1210, 2383713, 2384861,  - , 1149
1211, 1993550, 1994830,  - , 1281
1212, 2396913, 2398565,  - , 1653
1213, 2005151, 2006548,  - , 1398
1214, 2401812, 2404124,  - , 2313
1215, 2011388, 2012671,  - , 1284
1216, 2412156, 2413202,  - , 1047
1217, 2047988, 2049208,  - , 1221
1218, 2414178, 2415923,  - , 1746
1219, 2063159, 2065882,  - , 2724
1220, 2424162, 2425373,  - , 1212
1221, 2076779, 2077837,  - , 1059
1222, 2438148, 2439368,  - , 1221
1223, 2090729, 2091745,  - , 1017
1224, 2455956, 2457221,  - , 1266
1225, 2100254, 2101708,  - , 1455
1226, 2459574, 2462567,  - , 2994
1227, 2105195, 2106679,  - , 1485
1228, 2568975, 2570030,  - , 1056
1229, 2107307, 2108458,  - , 1152
1230, 2576013, 2577155,  - , 1143
1231, 2155571, 2156989,  - , 1419
1232, 2597973, 2599271,  - , 1299
1233, 2174621, 2175634,  - , 1014
1234, 2607720, 2608739,  - , 1020
1235, 2213741, 2215186,  - , 1446
1236, 2613882, 2614898,  - , 1017
1237, 2218415, 2219623,  - , 1209
1238, 2623644, 2625092,  - , 1449
1239, 2234030, 2235328,  - , 1299
1240, 2665104, 2666978,  - , 1875
1241, 2265923, 2268595,  - , 2673
1242, 2677326, 2678606,  - , 1281
1243, 2282831, 2284249,  - , 1419
1244, 2680917, 2683412,  - , 2496
1245, 2304425, 2306326,  - , 1902
1246, 2684496, 2686349,  - , 1854
1247, 2310077, 2312350,  - , 2274
1248, 2698692, 2699822,  - , 1131
1249, 2338493, 2340064,  - , 1572
1250, 2707047, 2708657,  - , 1611
1251, 2376092, 2377309,  - , 1218
1252, 2708715, 2710283,  - , 1569
1253, 2389958, 2391169,  - , 1212
1254, 2726859, 2728895,  - , 2037
1255, 15786, 16802,  - , 1017
1256, 81894, 83165,  - , 1272
1257, 24255, 26687,  - , 2433
1258, 83196, 84701,  - , 1506
1259, 34038, 35210,  - , 1173
1260, 96702, 97718,  - , 1017
1261, 35595, 36938,  - , 1344
1262, 110055, 111062,  - , 1008
1263, 40260, 41276,  - , 1017
1264, 124473, 125561,  - , 1089
1265, 62304, 63806,  - , 1503
1266, 130437, 133292,  - , 2856
1267, 68667, 69890,  - , 1224
1268, 134232, 135263,  - , 1032
1269, 106680, 108023,  - , 1344
1270, 153447, 155519,  - , 2073
1271, 117453, 118523,  - , 1071
1272, 179907, 181154,  - , 1248
1273, 131757, 133085,  - , 1329
1274, 184083, 185111,  - , 1029
1275, 135171, 136457,  - , 1287
1276, 185580, 186896,  - , 1317
1277, 137241, 138722,  - , 1482
1278, 187014, 188315,  - , 1302
1279, 139071, 140849,  - , 1779
1280, 221553, 223091,  - , 1539
1281, 142590, 144776,  - , 2187
1282, 230814, 232154,  - , 1341
1283, 170796, 171980,  - , 1185
1284, 234603, 235739,  - , 1137
1285, 186930, 188396,  - , 1467
1286, 251301, 252950,  - , 1650
1287, 196236, 199058,  - , 2823
1288, 259680, 260789,  - , 1110
1289, 215904, 217094,  - , 1191
1290, 260928, 262487,  - , 1560
1291, 239814, 240929,  - , 1116
1292, 263076, 264779,  - , 1704
1293, 250434, 251675,  - , 1242
1294, 287706, 289295,  - , 1590
1295, 261492, 263387,  - , 1896
1296, 299511, 301922,  - , 2412
1297, 263439, 264980,  - , 1542
1298, 310206, 311315,  - , 1110
1299, 286167, 287687,  - , 1521
1300, 315279, 317168,  - , 1890
1301, 297759, 299588,  - , 1830
1302, 318852, 321374,  - , 2523
1303, 310353, 312779,  - , 2427
1304, 335211, 336626,  - , 1416
1305, 313884, 314957,  - , 1074
1306, 356220, 357542,  - , 1323
1307, 316014, 317729,  - , 1716
1308, 364848, 366143,  - , 1296
1309, 329346, 330578,  - , 1233
1310, 366345, 374855,  - , 8511
1311, 385359, 386651,  - , 1293
1312, 390726, 391817,  - , 1092
1313, 397218, 399005,  - , 1788
1314, 411072, 412196,  - , 1125
1315, 402567, 403595,  - , 1029
1316, 413304, 414557,  - , 1254
1317, 406842, 408038,  - , 1197
1318, 414567, 415592,  - , 1026
1319, 436098, 437942,  - , 1845
1320, 418377, 420005,  - , 1629
1321, 438816, 439952,  - , 1137
1322, 446229, 447563,  - , 1335
1323, 454260, 456593,  - , 2334
1324, 451116, 452840,  - , 1725
1325, 484476, 485762,  - , 1287
1326, 453060, 454556,  - , 1497
1327, 487842, 489917,  - , 2076
1328, 481512, 483494,  - , 1983
1329, 489966, 490994,  - , 1029
1330, 509613, 510680,  - , 1068
1331, 520677, 521837,  - , 1161
1332, 520842, 521951,  - , 1110
1333, 533592, 535688,  - , 2097
1334, 525360, 527546,  - , 2187
1335, 538971, 540404,  - , 1434
1336, 527565, 530012,  - , 2448
1337, 587424, 588662,  - , 1239
1338, 530991, 532079,  - , 1089
1339, 592422, 593426,  - , 1005
1340, 533607, 534770,  - , 1164
1341, 597219, 598304,  - , 1086
1342, 538470, 539768,  - , 1299
1343, 612423, 613463,  - , 1041
1344, 547962, 549191,  - , 1230
1345, 665010, 666509,  - , 1500
1346, 561753, 563240,  - , 1488
1347, 679656, 680660,  - , 1005
1348, 568011, 569138,  - , 1128
1349, 681639, 682664,  - , 1026
1350, 628386, 630608,  - , 2223
1351, 716766, 717992,  - , 1227
1352, 635709, 637040,  - , 1332
1353, 738075, 740777,  - , 2703
1354, 639936, 641411,  - , 1476
1355, 764400, 765920,  - , 1521
1356, 651297, 652310,  - , 1014
1357, 809271, 811529,  - , 2259
1358, 654879, 657098,  - , 2220
1359, 815067, 816194,  - , 1128
1360, 664869, 665987,  - , 1119
1361, 817173, 818351,  - , 1179
1362, 670395, 672257,  - , 1863
1363, 818643, 820142,  - , 1500
1364, 677496, 678566,  - , 1071
1365, 825708, 826850,  - , 1143
1366, 681087, 682139,  - , 1053
1367, 833190, 837764,  - , 4575
1368, 684561, 686621,  - , 2061
1369, 848337, 849377,  - , 1041
1370, 690180, 691409,  - , 1230
1371, 871620, 872813,  - , 1194
1372, 700359, 701882,  - , 1524
1373, 885843, 888062,  - , 2220
1374, 732318, 734339,  - , 2022
1375, 891267, 892544,  - , 1278
1376, 739878, 740981,  - , 1104
1377, 911487, 912665,  - , 1179
1378, 744279, 747152,  - , 2874
1379, 919707, 921440,  - , 1734
1380, 752577, 754511,  - , 1935
1381, 936213, 937838,  - , 1626
1382, 768150, 769802,  - , 1653
1383, 948138, 949322,  - , 1185
1384, 775314, 776576,  - , 1263
1385, 950946, 953105,  - , 2160
1386, 788004, 791372,  - , 3369
1387, 979041, 980192,  - , 1152
1388, 801186, 802538,  - , 1353
1389, 981531, 982895,  - , 1365
1390, 807018, 808319,  - , 1302
1391, 988653, 989951,  - , 1299
1392, 816627, 818462,  - , 1836
1393, 1012467, 1014107,  - , 1641
1394, 844629, 847415,  - , 2787
1395, 1060926, 1062320,  - , 1395
1396, 862854, 863912,  - , 1059
1397, 1084953, 1087385,  - , 2433
1398, 893730, 894734,  - , 1005
1399, 1106829, 1108475,  - , 1647
1400, 897861, 899405,  - , 1545
1401, 1120485, 1121534,  - , 1050
1402, 900588, 901850,  - , 1263
1403, 1127613, 1128965,  - , 1353
1404, 902784, 904169,  - , 1386
1405, 1137852, 1140398,  - , 2547
1406, 911148, 913496,  - , 2349
1407, 659676, 661199,  - , 1524
1408, 1449804, 1451630,  - , 1827
1409, 687978, 690608,  - , 2631
1410, 1459320, 1460666,  - , 1347
1411, 702003, 703337,  - , 1335
1412, 1479885, 1481531,  - , 1647
1413, 708852, 709910,  - , 1059
1414, 1486056, 1487531,  - , 1476
1415, 726012, 727151,  - , 1140
1416, 1494864, 1497449,  - , 2586
1417, 768960, 770450,  - , 1491
1418, 1498215, 1499651,  - , 1437
1419, 797484, 798722,  - , 1239
1420, 1503492, 1504775,  - , 1284
1421, 810606, 811616,  - , 1011
1422, 1543023, 1544702,  - , 1680
1423, 825978, 827741,  - , 1764
1424, 1547697, 1550816,  - , 3120
1425, 848601, 849662,  - , 1062
1426, 1585044, 1586246,  - , 1203
1427, 860844, 862070,  - , 1227
1428, 1591155, 1592207,  - , 1053
1429, 875052, 876149,  - , 1098
1430, 1599681, 1600730,  - , 1050
1431, 880653, 881966,  - , 1314
1432, 1602834, 1604090,  - , 1257
1433, 883752, 885167,  - , 1416
1434, 1607199, 1609448,  - , 2250
1435, 895350, 896387,  - , 1038
1436, 1609473, 1611539,  - , 2067
1437, 900438, 901676,  - , 1239
1438, 1615338, 1616588,  - , 1251
1439, 934320, 936464,  - , 2145
1440, 1618437, 1621094,  - , 2658
1441, 941907, 943193,  - , 1287
1442, 1635594, 1636862,  - , 1269
1443, 944700, 946217,  - , 1518
1444, 1657215, 1659047,  - , 1833
1445, 951879, 953681,  - , 1803
1446, 1666056, 1667897,  - , 1842
1447, 953847, 955376,  - , 1530
1448, 1667904, 1669361,  - , 1458
1449, 963051, 964346,  - , 1296
1450, 1673706, 1675061,  - , 1356
1451, 1002603, 1003931,  - , 1329
1452, 1675062, 1676276,  - , 1215
1453, 1007016, 1008746,  - , 1731
1454, 1698369, 1699463,  - , 1095
1455, 1008858, 1009913,  - , 1056
1456, 1701327, 1702970,  - , 1644
1457, 1021416, 1023359,  - , 1944
1458, 1705575, 1708166,  - , 2592
1459, 1046253, 1047383,  - , 1131
1460, 1709121, 1710812,  - , 1692
1461, 1052955, 1054205,  - , 1251
1462, 1715124, 1716593,  - , 1470
1463, 1055445, 1056470,  - , 1026
1464, 1730748, 1731761,  - , 1014
1465, 1063236, 1065182,  - , 1947
1466, 1742934, 1747040,  - , 4107
1467, 1070364, 1072808,  - , 2445
1468, 1754919, 1757171,  - , 2253
1469, 1076928, 1078016,  - , 1089
1470, 1761864, 1763537,  - , 1674
1471, 1121856, 1123964,  - , 2109
1472, 1766784, 1768484,  - , 1701
1473, 1158114, 1159286,  - , 1173
1474, 1774788, 1776053,  - , 1266
1475, 1171452, 1172960,  - , 1509
1476, 1777161, 1778288,  - , 1128
1477, 1174482, 1175546,  - , 1065
1478, 1795305, 1796795,  - , 1491
1479, 1195605, 1197179,  - , 1575
1480, 1820133, 1821374,  - , 1242
1481, 1208094, 1209119,  - , 1026
1482, 1831587, 1832897,  - , 1311
1483, 1209813, 1211057,  - , 1245
1484, 1858362, 1860023,  - , 1662
1485, 1264839, 1266032,  - , 1194
1486, 1896417, 1897685,  - , 1269
1487, 1271145, 1272449,  - , 1305
1488, 1897695, 1898765,  - , 1071
1489, 1287573, 1290134,  - , 2562
1490, 1901460, 1905260,  - , 3801
1491, 1311585, 1312907,  - , 1323
1492, 1935510, 1936610,  - , 1101
1493, 1313949, 1315337,  - , 1389
1494, 1953090, 1955369,  - , 2280
1495, 1316841, 1318703,  - , 1863
1496, 1955406, 1956578,  - , 1173
1497, 1318968, 1320680,  - , 1713
1498, 1959033, 1961828,  - , 2796
1499, 1337394, 1339127,  - , 1734
1500, 2006523, 2007614,  - , 1092
1501, 1369434, 1370465,  - , 1032
1502, 2093766, 2094959,  - , 1194
1503, 1379037, 1380497,  - , 1461
1504, 2105607, 2106953,  - , 1347
1505, 1396467, 1398272,  - , 1806
1506, 2110839, 2112026,  - , 1188
1507, 1406547, 1407560,  - , 1014
1508, 2179374, 2180468,  - , 1095
1509, 1422654, 1424036,  - , 1383
1510, 2203020, 2204021,  - , 1002
1511, 1442925, 1444937,  - , 2013
1512, 2235369, 2236997,  - , 1629
1513, 1456899, 1458011,  - , 1113
1514, 2239317, 2240588,  - , 1272
1515, 1459824, 1461419,  - , 1596
1516, 2244768, 2246057,  - , 1290
1517, 1471287, 1472333,  - , 1047
1518, 2259525, 2261423,  - , 1899
1519, 1481202, 1483463,  - , 2262
1520, 2282271, 2283830,  - , 1560
1521, 1513236, 1514519,  - , 1284
1522, 2291178, 2292332,  - , 1155
1523, 1517691, 1518776,  - , 1086
1524, 2304357, 2305718,  - , 1362
1525, 1519542, 1520906,  - , 1365
1526, 2317587, 2319071,  - , 1485
1527, 1525515, 1526798,  - , 1284
1528, 2388075, 2389286,  - , 1212
1529, 1542105, 1543592,  - , 1488
1530, 2389920, 2391125,  - , 1206
