number,start,end,strand,length
1020,2923664,2924200,+,537
1021,2925392,2925946,+,555
1022,2925991,2927253,+,1263
1023,2927275,2928903,+,1629
1024,2929481,2930650,+,1170
1025,2933882,2934592,+,711
1026,2936412,2937236,+,825
1027,2937669,2938661,+,993
1028,2952548,2954749,+,2202
1029,2954981,2956063,+,1083
1030,2956350,2957351,+,1002
1031,2957506,2958822,+,1317
1032,2958836,2960116,+,1281
1033,2961725,2963188,+,1464
1034,2963191,2963871,+,681
1035,2965055,2965579,+,525
1036,2970791,2972896,+,2106
1037,2972906,2973865,+,960
1038,2974581,2975423,+,843
1039,2975671,2976480,+,810
1040,2976489,2977529,+,1041
1041,2977721,2978905,+,1185
1042,2979029,2979766,+,738
1043,2982265,2983449,+,1185
1044,2983457,2985004,+,1548
1045,2986022,2986522,+,501
1046,2988491,2989291,+,801
1047,2990748,2992535,+,1788
1048,2997199,2997801,+,603
1049,2998187,2998966,+,780
1050,2999570,3000271,+,702
1051,3000303,3001229,+,927
1052,3002981,3004366,+,1386
1053,3004726,3005496,+,771
1054,3009913,3011370,+,1458
1055,3011373,3012803,+,1431
1056,3017075,3018280,+,1206
1057,3022825,3023697,+,873
1058,3024377,3025081,+,705
1059,3025120,3026088,+,969
1060,3027092,3028240,+,1149
1061,3029479,3031944,+,2466
1062,3032050,3032706,+,657
1063,3034058,3034639,+,582
1064,3045994,3046749,+,756
1065,3048743,3049708,+,966
1066,3050047,3050562,+,516
1067,3052890,3053642,+,753
1068,3053910,3054485,+,576
1069,3055531,3056082,+,552
1070,3057797,3058345,+,549
1071,3064263,3065165,+,903
1072,3065192,3066670,+,1479
1073,3069501,3070871,+,1371
1074,3070877,3072280,+,1404
1075,3072660,3073313,+,654
1076,3074318,3075235,+,918
1077,3077289,3078119,+,831
1078,3084139,3084693,+,555
1079,3085243,3087093,+,1851
1080,3088113,3088664,+,552
1081,3090554,3091375,+,822
1082,3091417,3092112,+,696
1083,3092134,3093315,+,1182
1084,3093318,3094514,+,1197
1085,3095380,3096855,+,1476
1086,3104756,3105259,+,504
1087,3108759,3109463,+,705
1088,3115576,3116841,+,1266
1089,3116977,3118461,+,1485
1090,3118856,3119587,+,732
1091,3120008,3120523,+,516
1092,3123517,3124191,+,675
1093,3125110,3125658,+,549
1094,3131078,3132616,+,1539
1095,3133191,3133937,+,747
1096,3142088,3142609,+,522
1097,3142684,3143784,+,1101
1098,3145165,3146565,+,1401
1099,3151443,3152258,+,816
1100,3152560,3155211,+,2652
1101,3155349,3157127,+,1779
1102,3157276,3158127,+,852
1103,3161038,3161652,+,615
1104,3164242,3165873,+,1632
1105,3165885,3166547,+,663
1106,3166558,3167661,+,1104
1107,3167951,3168553,+,603
1108,3170941,3171555,+,615
1109,3175612,3176172,+,561
1110,3176402,3177955,+,1554
1111,3177990,3179615,+,1626
1112,3186032,3188302,+,2271
1113,3189575,3190534,+,960
1114,3191166,3192497,+,1332
1115,3194200,3194802,+,603
1116,3194835,3195551,+,717
1117,3196317,3197105,+,789
1118,3197107,3198636,+,1530
1119,3198642,3199781,+,1140
1120,3199911,3200624,+,714
1121,3202843,3203610,+,768
1122,3208680,3209378,+,699
1123,3209432,3210748,+,1317
1124,3211719,3212285,+,567
1125,3213024,3213575,+,552
1126,3213842,3214858,+,1017
1127,3217099,3218370,+,1272
1128,3220474,3221049,+,576
1129,3224655,3226112,+,1458
1130,3226126,3227172,+,1047
1131,3227718,3228920,+,1203
1132,3231883,3234255,+,2373
1133,3234268,3235170,+,903
1134,3235272,3235802,+,531
1135,3235874,3236728,+,855
1136,3245563,3246426,+,864
1137,3246669,3247328,+,660
1138,3247479,3248528,+,1050
1139,3248767,3249498,+,732
1140,3249876,3251732,+,1857
1141,3251745,3253163,+,1419
1142,3253200,3254609,+,1410
1143,3254610,3255368,+,759
1144,3258782,3260128,+,1347
1145,3260462,3261724,+,1263
1146,3262400,3263785,+,1386
1147,3264019,3265008,+,990
1148,3265011,3266429,+,1419
1149,3269541,3270164,+,624
1150,3273723,3274628,+,906
1151,3278299,3278883,+,585
1152,3286297,3286923,+,627
1153,3287954,3288868,+,915
1154,3289022,3291337,+,2316
1155,3291347,3292510,+,1164
1156,3304162,3305016,+,855
1157,3305373,3306044,+,672
1158,3306688,3307662,+,975
1159,3307676,3308185,+,510
1160,3308198,3309688,+,1491
1161,3311953,3313137,+,1185
1162,3316688,3317446,+,759
1163,3317495,3318289,+,795
1164,3318533,3319486,+,954
1165,3327288,3328052,+,765
1166,3329594,3330145,+,552
1167,3342239,3343498,+,1260
1168,3344974,3346404,+,1431
1169,3347463,3348002,+,540
1170,3348107,3348709,+,603
1171,3349419,3349940,+,522
1172,3354898,3356262,+,1365
1173,3356983,3358107,+,1125
1174,3358297,3359532,+,1236
1175,3359554,3360399,+,846
1176,3363519,3364190,+,672
1177,3364319,3365998,+,1680
1178,3366269,3367525,+,1257
1179,3367998,3368738,+,741
1180,3371940,3373181,+,1242
1181,3375104,3375610,+,507
1182,3377707,3379104,+,1398
1183,3398278,3398883,+,606
1184,3400129,3401169,+,1041
1185,3402285,3402938,+,654
1186,3405132,3406163,+,1032
1187,3407701,3408489,+,789
1188,3414380,3415609,+,1230
1189,3416153,3416701,+,549
1190,3420987,3422246,+,1260
1191,3428089,3429888,+,1800
1192,3429899,3430777,+,879
1193,3433619,3434737,+,1119
1194,3434795,3435991,+,1197
1195,3436130,3437260,+,1131
1196,3437301,3438698,+,1398
1197,3442313,3442843,+,531
1198,3443165,3446263,+,3099
1199,3446266,3447594,+,1329
1200,3447645,3448424,+,780
1201,3448484,3451291,+,2808
1202,3451399,3452856,+,1458
1203,3452871,3454190,+,1320
1204,3454358,3455593,+,1236
1205,3458343,3459920,+,1578
1206,3460169,3460717,+,549
1207,3461465,3462292,+,828
1208,3462320,3463324,+,1005
1209,3466958,3467479,+,522
1210,3468620,3469396,+,777
1211,3471030,3472085,+,1056
1212,3473109,3474239,+,1131
1213,3479858,3480562,+,705
1214,3482125,3482871,+,747
1215,3484685,3485251,+,567
1216,3486156,3486683,+,528
1217,3486896,3489031,+,2136
1218,3489108,3490019,+,912
1219,3490030,3490815,+,786
1220,3490839,3492317,+,1479
1221,3496321,3497211,+,891
1222,3497216,3498511,+,1296
1223,3500388,3500966,+,579
1224,3500967,3501674,+,708
1225,3504716,3505294,+,579
1226,3508713,3509621,+,909
1227,3510441,3511652,+,1212
1228,3511717,3512694,+,978
1229,3513018,3513605,+,588
1230,3514819,3515391,+,573
1231,3515425,3516051,+,627
1232,3517434,3518600,+,1167
1233,3519024,3520430,+,1407
1234,3521096,3521806,+,711
1235,3522081,3522617,+,537
1236,3522630,3523580,+,951
1237,3523617,3524252,+,636
1238,3525841,3526545,+,705
1239,3526563,3527129,+,567
1240,3527424,3528017,+,594
1241,3529465,3530445,+,981
1242,3530481,3530993,+,513
1243,3531095,3531634,+,540
1244,3532711,3533607,+,897
1245,3534832,3535749,+,918
1246,3538235,3539170,+,936
1247,3539562,3540617,+,1056
1248,3540819,3542075,+,1257
1249,3545738,3547003,+,1266
1250,3560485,3561117,+,633
1251,3561153,3561914,+,762
1252,3564769,3565329,+,561
1253,3569118,3570899,+,1782
1254,3570900,3571847,+,948
1255,3572096,3573589,+,1494
1256,3574069,3574863,+,795
1257,3574948,3577146,+,2199
1258,3578091,3580421,+,2331
1259,3582047,3583393,+,1347
1260,3584282,3585418,+,1137
1261,3585589,3587118,+,1530
1262,3588231,3589892,+,1662
1263,3589978,3591132,+,1155
1264,3602425,3602952,+,528
1265,3606809,3607570,+,762
1266,3607740,3608249,+,510
1267,3614745,3615335,+,591
1268,3626040,3626645,+,606
1269,3628156,3629886,+,1731
1270,3629901,3630797,+,897
1271,3631320,3632249,+,930
1272,3636326,3636973,+,648
1273,3638929,3639495,+,567
1274,3641910,3642476,+,567
1275,3643476,3644390,+,915
1276,3649138,3649926,+,789
1277,3652947,3653684,+,738
1278,3654568,3655293,+,726
1279,3656750,3657937,+,1188
1280,3658077,3658736,+,660
1281,3659989,3661032,+,1044
1282,3661254,3661964,+,711
1283,3662545,3663090,+,546
1284,3664308,3664967,+,660
1285,3668940,3669704,+,765
1286,3674342,3675001,+,660
1287,3675064,3676347,+,1284
1288,3679391,3680080,+,690
1289,3683720,3685240,+,1521
1290,3685355,3686059,+,705
1291,3686065,3687225,+,1161
1292,3688188,3688967,+,780
1293,3689475,3690098,+,624
1294,3691058,3691609,+,552
1295,3691705,3692337,+,633
1296,3692368,3694173,+,1806
1297,3694180,3694938,+,759
1298,3694940,3696004,+,1065
1299,3697172,3698833,+,1662
1300,3705513,3706133,+,621
1301,3706683,3707435,+,753
1302,3710800,3711681,+,882
1303,3711765,3712283,+,519
1304,3712332,3713795,+,1464
1305,3715414,3717159,+,1746
1306,3717504,3719195,+,1692
1307,3719333,3720679,+,1347
1308,3723230,3723805,+,576
1309,3723960,3724583,+,624
1310,3726786,3728054,+,1269
1311,3728728,3729630,+,903
1312,3729661,3732906,+,3246
1313,3733454,3734848,+,1395
1314,3734982,3736052,+,1071
1315,3736069,3738420,+,2352
1316,3738946,3740964,+,2019
1317,3742883,3743566,+,684
1318,3743660,3744631,+,972
1319,3744935,3745879,+,945
1320,3746639,3747739,+,1101
1321,3748861,3749367,+,507
1322,3751775,3753073,+,1299
1323,3758649,3759344,+,696
1324,3759758,3760351,+,594
1325,3762919,3763926,+,1008
1326,3766234,3766935,+,702
1327,3769421,3769951,+,531
1328,3772611,3773201,+,591
1329,3781204,3781743,+,540
1330,3781765,3782952,+,1188
1331,3783013,3783528,+,516
1332,3788194,3789696,+,1503
1333,3791757,3793037,+,1281
1334,3793544,3794323,+,780
1335,3794457,3795191,+,735
1336,3795703,3796773,+,1071
1337,3797442,3798278,+,837
1338,3798291,3799151,+,861
1339,3799833,3800636,+,804
1340,3800710,3801417,+,708
1341,3801418,3802185,+,768
1342,3803163,3805199,+,2037
1343,3805572,3806162,+,591
1344,3806172,3806747,+,576
1345,3811541,3812242,+,702
1346,3812251,3813129,+,879
1347,3813456,3814217,+,762
1348,3818973,3820955,+,1983
1349,3822706,3823362,+,657
1350,3824000,3824551,+,552
1351,3824974,3825618,+,645
1352,3825634,3827103,+,1470
1353,3828631,3829743,+,1113
1354,3835457,3836470,+,1014
1355,3838843,3840159,+,1317
1356,3843367,3844299,+,933
1357,3846904,3847497,+,594
1358,3849893,3850870,+,978
1359,3850884,3851870,+,987
1360,3851891,3852457,+,567
1361,3852523,3853029,+,507
1362,3853562,3854287,+,726
1363,3854335,3855768,+,1434
1364,3856172,3856687,+,516
1365,3856838,3857587,+,750
1366,3864426,3868802,+,4377
1367,3868815,3870233,+,1419
1368,3870417,3871529,+,1113
1369,3872131,3872664,+,534
1370,3877426,3878811,+,1386
1371,3884101,3885510,+,1410
1372,3885600,3886667,+,1068
1373,3886771,3888117,+,1347
1374,3894466,3895287,+,822
1375,3898298,3898870,+,573
1376,3901260,3901772,+,513
1377,3905114,3905734,+,621
1378,3906421,3906939,+,519
1379,3909870,3910451,+,582
1380,3911910,3913259,+,1350
1381,3920912,3921847,+,936
1382,3922185,3923624,+,1440
1383,3923843,3924517,+,675
1384,3924894,3925811,+,918
1385,3926462,3927103,+,642
1386,3928430,3929587,+,1158
1387,3929599,3930531,+,933
1388,3930612,3932672,+,2061
1389,3933577,3934602,+,1026
1390,3934652,3935851,+,1200
1391,3935858,3936964,+,1107
1392,3936972,3937730,+,759
1393,3943610,3944164,+,555
1394,3948064,3948573,+,510
1395,3948588,3949535,+,948
1396,3949560,3950870,+,1311
1397,3950892,3952268,+,1377
1398,3955456,3955995,+,540
1399,3962023,3962577,+,555
1400,3963610,3964263,+,654
1401,3964884,3965810,+,927
1402,3971269,3972819,+,1551
1403,3977231,3977779,+,549
1404,3980559,3982472,+,1914
1405,3982625,3983494,+,870
1406,3985390,3986022,+,633
1407,3986754,3988163,+,1410
1408,3991836,3993017,+,1182
1409,3993279,3995822,+,2544
1410,3996271,3997077,+,807
1411,3997096,3998469,+,1374
1412,4006620,4007297,+,678
1413,4013914,4014531,+,618
1414,4017010,4019352,+,2343
1415,4020431,4022536,+,2106
1416,4022649,4023269,+,621
1417,4023700,4024584,+,885
1418,4026821,4028443,+,1623
1419,4032782,4034452,+,1671
1420,4035122,4037455,+,2334
1421,4038017,4038772,+,756
1422,4039609,4040292,+,684
1423,4040351,4040926,+,576
1424,4041278,4042594,+,1317
1425,4046089,4046682,+,594
1426,4047749,4050454,+,2706
1427,4051574,4052182,+,609
1428,4052932,4054530,+,1599
1429,4056663,4058183,+,1521
1430,4061625,4062155,+,531
1431,4068906,4069796,+,891
1432,4072618,4073181,+,564
1433,4082807,4083985,+,1179
1434,4097043,4097648,+,606
1435,4101945,4102538,+,594
1436,4105384,4105980,+,597
1437,4106742,4107368,+,627
1438,4107610,4109640,+,2031
1439,4110244,4110873,+,630
1440,4112775,4113905,+,1131
1441,4113960,4114547,+,588
1442,4114802,4116232,+,1431
1443,4116235,4117176,+,942
1444,4117374,4118006,+,633
1445,4118198,4118770,+,573
1446,4118992,4119573,+,582
1447,4120223,4120924,+,702
1448,4121744,4123132,+,1389
1449,4123416,4124633,+,1218
1450,4125140,4125784,+,645
1451,4133810,4135156,+,1347
1452,4137081,4138175,+,1095
1453,4139924,4141423,+,1500
1454,4142970,4144439,+,1470
1455,4145605,4146399,+,795
1456,4146478,4147278,+,801
1457,4147442,4148335,+,894
1458,4148548,4149759,+,1212
1459,4151082,4152332,+,1251
1460,4153207,4154220,+,1014
1461,4154825,4156024,+,1200
1462,4156051,4156836,+,786
1463,4157016,4157519,+,504
1464,4161482,4162237,+,756
1465,4162551,4163594,+,1044
1466,4164989,4165765,+,777
1467,4166017,4166532,+,516
1468,4168351,4168896,+,546
1469,4169616,4170221,+,606
1470,4170559,4171716,+,1158
1471,4171741,4174854,+,3114
1472,4177513,4178091,+,579
1473,4180920,4182569,+,1650
1474,4183669,4184640,+,972
1475,4184752,4185702,+,951
1476,4186403,4187416,+,1014
1477,4188234,4188821,+,588
1478,4190658,4191653,+,996
1479,4194099,4194854,+,756
1480,4198109,4198930,+,822
1481,4198949,4199605,+,657
1482,4203620,4204222,+,603
1483,4204397,4205242,+,846
1484,4207995,4209314,+,1320
1485,4209926,4211272,+,1347
1486,4211289,4212617,+,1329
1487,4215083,4216009,+,927
1488,4226778,4227506,+,729
1489,4228644,4229858,+,1215
1490,4231242,4232135,+,894
1491,4237036,4237566,+,531
1492,4237825,4238985,+,1161
1493,4241500,4242090,+,591
1494,4246163,4247233,+,1071
1495,4247329,4248852,+,1524
1496,4248854,4250011,+,1158
1497,4252519,4254549,+,2031
1498,4254661,4255980,+,1320
1499,4257644,4258642,+,999
1500,4259715,4260992,+,1278
1501,4261005,4261991,+,987
1502,4261995,4263491,+,1497
1503,4263635,4264150,+,516
1504,4265021,4265692,+,672
1505,4266996,4268165,+,1170
1506,4268176,4269897,+,1722
1507,4284605,4286494,+,1890
1508,4286571,4287737,+,1167
1509,4287740,4288324,+,585
1510,4289766,4290431,+,666
1511,4290787,4292571,+,1785
1512,4292603,4295344,+,2742
1513,4295819,4297297,+,1479
1514,4297387,4298073,+,687
1515,4298142,4299260,+,1119
1516,4303225,4304922,+,1698
1517,4304932,4306215,+,1284
1518,4306219,4307178,+,960
1519,4308522,4309454,+,933
1520,4309491,4310645,+,1155
1521,4311009,4311815,+,807
1522,4311825,4312871,+,1047
1523,4312875,4313846,+,972
1524,4323459,4324736,+,1278
1525,4327578,4328870,+,1293
1526,4329413,4330009,+,597
1527,4332861,4333724,+,864
1528,4333996,4334514,+,519
1529,4334743,4335753,+,1011
1530,4336901,4337572,+,672
1531,4339596,4340132,+,537
1532,4340481,4342589,+,2109
1533,4342596,4343285,+,690
1534,4343291,4345372,+,2082
1535,4347110,4348282,+,1173
1536,4349066,4350112,+,1047
1537,4361811,4362974,+,1164
1538,4363410,4364429,+,1020
1539,4373788,4375134,+,1347
1540,4376053,4376565,+,513
1541,4376588,4377406,+,819
1542,4379356,4380957,+,1602
1543,4381245,4382411,+,1167
1544,4382438,4385824,+,3387
1545,4386251,4386823,+,573
1546,4387928,4388593,+,666
1547,4391184,4392521,+,1338
1548,4392539,4393870,+,1332
1549,4397707,4398273,+,567
1550,4404399,4404929,+,531
1551,4409334,4410011,+,678
1552,4410340,4411158,+,819
1553,4411361,4411903,+,543
1554,4414121,4414963,+,843
1555,4415757,4416941,+,1185
1556,4417172,4417975,+,804
1557,4420609,4422126,+,1518
1558,4422139,4423290,+,1152
1559,4423754,4424683,+,930
1560,4425441,4426583,+,1143
1561,4429111,4430841,+,1731
1562,4431148,4431729,+,582
1563,4439611,4441320,+,1710
1564,4452856,4454046,+,1191
1565,4458679,4459572,+,894
1566,4462998,4463519,+,522
1567,4468281,4469345,+,1065
1568,4473591,4474178,+,588
1569,4474237,4474998,+,762
1570,4479614,4480516,+,903
1571,4485413,4487059,+,1647
1572,4487642,4488529,+,888
1573,4489050,4490480,+,1431
1574,4490929,4491819,+,891
1575,4492384,4493127,+,744
1576,4493159,4494061,+,903
1577,4494206,4494967,+,762
1578,4494989,4495555,+,567
1579,4497113,4497778,+,666
1580,4500681,4501811,+,1131
1581,4505401,4505946,+,546
1582,4505970,4506749,+,780
1583,4506798,4507427,+,630
1584,4519531,4520055,+,525
1585,4522058,4523473,+,1416
1586,4523513,4524250,+,738
1587,4528224,4528853,+,630
1588,4530798,4531616,+,819
1589,4534718,4536064,+,1347
1590,4536223,4538091,+,1869
1591,4538685,4540190,+,1506
1592,4540195,4541160,+,966
1593,4541179,4542075,+,897
1594,4542174,4543130,+,957
1595,4543134,4544126,+,993
1596,4552189,4552929,+,741
1597,4552941,4553891,+,951
1598,4556184,4556972,+,789
1599,4558723,4559427,+,705
1600,4561274,4564996,+,3723
1601,4565073,4569296,+,4224
1602,4569553,4570770,+,1218
1603,4570772,4571398,+,627
1604,4571450,4572271,+,822
1605,4572522,4574918,+,2397
1606,4580157,4580741,+,585
1607,4582085,4582858,+,774
1608,4582898,4583962,+,1065
1609,4583966,4584643,+,678
1610,4585769,4586443,+,675
1611,4587408,4588478,+,1071
1612,4588502,4589800,+,1299
1613,4589911,4590888,+,978
1614,4591110,4592558,+,1449
1615,4599032,4599961,+,930
1616,4600230,4601831,+,1602
1617,4601846,4603165,+,1320
1618,4603251,4603781,+,531
1619,4604033,4604608,+,576
1620,4604785,4606509,+,1725
1621,4607529,4611233,+,3705
1622,4612276,4613907,+,1632
1623,4616974,4617564,+,591
1624,4621591,4622463,+,873
1625,4623265,4624392,+,1128
1626,4624398,4625189,+,792
1627,4630225,4630767,+,543
1628,4634093,4634608,+,516
1629,4644775,4646361,+,1587
1630,4647209,4647709,+,501
1631,4647919,4648443,+,525
1632,4648650,4650539,+,1890
1633,4650865,4651488,+,624
1634,4655650,4656855,+,1206
1635,4656996,4658267,+,1272
1636,4658510,4659430,+,921
1637,4659697,4661238,+,1542
1638,4661971,4662843,+,873
1639,4666070,4666678,+,609
1640,4666697,4668076,+,1380
1641,4669441,4670280,+,840
1642,4670636,4671679,+,1044
1643,4673380,4674720,+,1341
1644,4674773,4675852,+,1080
1645,4676063,4677298,+,1236
1646,4678425,4679138,+,714
1647,4684924,4686069,+,1146
1648,4687605,4688840,+,1236
1649,4688991,4690640,+,1650
1650,4693710,4694285,+,576
1651,4694860,4695765,+,906
1652,4696662,4698131,+,1470
1653,4698177,4698743,+,567
1654,4699513,4700364,+,852
1655,4700420,4702102,+,1683
1656,4702496,4703071,+,576
1657,4703572,4704726,+,1155
1658,4706602,4707231,+,630
1659,4711754,4712353,+,600
1660,4713164,4714258,+,1095
1661,4717231,4717845,+,615
1662,4724965,4725591,+,627
1663,4727198,4727869,+,672
1664,4729711,4730262,+,552
1665,4734857,4737085,+,2229
1666,4737115,4737960,+,846
1667,4738410,4739726,+,1317
1668,4747220,4748107,+,888
1669,4749644,4750999,+,1356
1670,4751078,4752523,+,1446
1671,4764462,4765331,+,870
1672,4766464,4766976,+,513
1673,4772088,4772606,+,519
1674,4775781,4776311,+,531
1675,4776770,4777312,+,543
1676,4781270,4781899,+,630
1677,4783588,4784106,+,519
1678,4785898,4786428,+,531
1679,4786492,4787079,+,588
1680,4787441,4789648,+,2208
1681,4789734,4790453,+,720
1682,4791626,4792165,+,540
1683,4792240,4792740,+,501
1684,4793054,4793794,+,741
1685,4794154,4794900,+,747
1686,4795075,4796574,+,1500
1687,4810584,4812230,+,1647
1688,4814226,4814729,+,504
1689,4819747,4820256,+,510
1690,4822631,4823638,+,1008
1691,4823878,4825359,+,1482
1692,4828753,4829778,+,1026
1693,4830100,4831041,+,942
1694,4831109,4831612,+,504
1695,4833508,4835076,+,1569
1696,4835513,4836865,+,1353
1697,4836872,4838722,+,1851
1698,4838757,4839665,+,909
1699,4840137,4841417,+,1281
1700,4841905,4842762,+,858
1701,4842765,4843769,+,1005
1702,4844401,4845450,+,1050
1703,4846668,4848560,+,1893
1704,4848741,4849472,+,732
1705,4850019,4850717,+,699
1706,4850767,4851426,+,660
1707,4851852,4852490,+,639
1708,4852493,4853656,+,1164
1709,4853947,4855365,+,1419
1710,4856540,4857166,+,627
1711,4859490,4860842,+,1353
1712,4861645,4862301,+,657
1713,4862311,4863165,+,855
1714,4863327,4863851,+,525
1715,4876116,4876895,+,780
1716,4877204,4878607,+,1404
1717,4880819,4881424,+,606
1718,4881520,4882110,+,591
1719,4891595,4893025,+,1431
1720,4893148,4896801,+,3654
1721,4898871,4899827,+,957
1722,4900330,4901469,+,1140
1723,4901543,4902505,+,963
1724,4902927,4904273,+,1347
1725,4904300,4904926,+,627
1726,4905430,4905948,+,519
1727,4906754,4907506,+,753
1728,4909824,4911095,+,1272
1729,4913371,4914552,+,1182
1730,4919949,4922549,+,2601
1731,4934192,4934923,+,732
1732,4936746,4937870,+,1125
1733,4940400,4941500,+,1101
1734,4941572,4942582,+,1011
1735,4946118,4946684,+,567
1736,4948787,4949329,+,543
1737,4951278,4952084,+,807
1738,4954771,4955988,+,1218
1739,4956057,4957118,+,1062
1740,4958537,4959133,+,597
1741,4967708,4968307,+,600
1742,4988380,4989012,+,633
1743,4989532,4990086,+,555
1744,4991048,4991719,+,672
1745,4991807,4992481,+,675
1746,4992548,4995184,+,2637
1747,4995191,4995724,+,534
1748,4995731,4996240,+,510
1749,4996251,4997162,+,912
1750,5000360,5001820,+,1461
1751,5002035,5002808,+,774
1752,5014970,5015809,+,840
1753,5016089,5018311,+,2223
1754,5022516,5023184,+,669
1755,5025408,5026577,+,1170
1756,5027869,5029419,+,1551
1757,5030436,5032058,+,1623
1758,5035745,5037220,+,1476
1759,5038810,5039457,+,648
1760,5046001,5046651,+,651
1761,5052147,5053313,+,1167
1762,5053498,5054739,+,1242
1763,5061003,5061521,+,519
1764,5061978,5062787,+,810
1765,5063019,5063831,+,813
1766,5064388,5064975,+,588
1767,5065704,5066513,+,810
1768,5066515,5067510,+,996
1769,5067572,5068276,+,705
1770,5070428,5071438,+,1011
1771,5071450,5072505,+,1056
1772,5075529,5077562,+,2034
1773,5077936,5079279,+,1344
1774,5079293,5081251,+,1959
1775,5082853,5083671,+,819
1776,5084458,5087493,+,3036
1777,5087832,5088530,+,699
1778,5088536,5089279,+,744
1779,5089885,5093583,+,3699
1780,5093651,5094250,+,600
1781,5094423,5096459,+,2037
1782,5099845,5101458,+,1614
1783,5101851,5102456,+,606
1784,5105557,5106132,+,576
1785,5106577,5107113,+,537
1786,5108952,5109692,+,741
1787,5109920,5111092,+,1173
1788,5111144,5112367,+,1224
1789,5112373,5113143,+,771
1790,5115306,5116361,+,1056
1791,5116362,5117792,+,1431
1792,5117813,5119045,+,1233
1793,5120328,5121188,+,861
1794,5121366,5123234,+,1869
1795,5126421,5127110,+,690
1796,5127122,5128534,+,1413
1797,5128619,5129944,+,1326
1798,5131431,5132042,+,612
